epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
126,35528.1,0.91296,0.96875,0.00603,0.75248,0.74706,0.84173,0.6654,0.81117,0.69097,0.00469,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
127,35810.2,0.91134,0.96681,0.00598,0.75089,0.74893,0.84148,0.66525,0.81094,0.69127,0.00469,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
128,36088.8,0.90862,0.95972,0.00595,0.74894,0.7504,0.84146,0.66535,0.81039,0.69108,0.00468,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292
129,36367.8,0.91096,0.96407,0.00599,0.75382,0.74681,0.84183,0.66566,0.80982,0.69133,0.00468,0.00184868,0.000616227,0.00184868,0.000616227,0.00184868,0.000616227,0.00184868,0.000616227
130,36651.6,0.90782,0.96143,0.00593,0.75267,0.74838,0.8419,0.66586,0.80925,0.69121,0.00468,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
131,36936.3,0.90828,0.96138,0.00596,0.75375,0.74677,0.84183,0.66579,0.80845,0.69158,0.00467,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795
132,37218.3,0.90416,0.9604,0.00592,0.75462,0.74691,0.84216,0.66662,0.8082,0.69061,0.00467,0.00146033,0.000486777,0.00146033,0.000486777,0.00146033,0.000486777,0.00146033,0.000486777
133,37501.3,0.9058,0.96132,0.00594,0.75668,0.74652,0.84237,0.66688,0.80777,0.69011,0.00467,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
134,37781.2,0.90062,0.95311,0.0059,0.75309,0.74946,0.84227,0.66672,0.80721,0.69001,0.00466,0.00123136,0.000410454,0.00123136,0.000410454,0.00123136,0.000410454,0.00123136,0.000410454
135,38066.1,0.8987,0.95208,0.00588,0.75466,0.749,0.84222,0.66689,0.80655,0.68989,0.00466,0.00112601,0.000375337,0.00112601,0.000375337,0.00112601,0.000375337,0.00112601,0.000375337
136,38349,0.89524,0.95473,0.0059,0.75625,0.74806,0.84268,0.66759,0.80591,0.68946,0.00465,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
137,38626.9,0.89986,0.95809,0.0059,0.75558,0.74892,0.84277,0.66788,0.80519,0.68913,0.00465,0.000933805,0.000311268,0.000933805,0.000311268,0.000933805,0.000311268,0.000933805,0.000311268
138,38906,0.89875,0.95571,0.00588,0.75114,0.75417,0.84276,0.66804,0.80468,0.68948,0.00464,0.000847036,0.000282345,0.000847036,0.000282345,0.000847036,0.000282345,0.000847036,0.000282345
139,39190.7,0.89416,0.9493,0.00585,0.75223,0.75358,0.84274,0.66819,0.80411,0.6895,0.00464,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
140,39473.7,0.89457,0.95019,0.0059,0.75125,0.75448,0.84296,0.66858,0.80332,0.68927,0.00463,0.000692353,0.000230784,0.000692353,0.000230784,0.000692353,0.000230784,0.000692353,0.000230784
141,39783.3,0.78741,0.77576,0.0056,0.75237,0.7541,0.84335,0.66895,0.80315,0.68775,0.00463,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169
142,40063.2,0.77499,0.76317,0.00554,0.75603,0.75148,0.84369,0.66942,0.80257,0.68688,0.00463,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
143,40341.1,0.77109,0.75618,0.00548,0.75659,0.75186,0.84389,0.66975,0.80212,0.68618,0.00462,0.000507959,0.00016932,0.000507959,0.00016932,0.000507959,0.00016932,0.000507959,0.00016932
144,40623.3,0.76811,0.75472,0.00546,0.75619,0.75358,0.84433,0.6703,0.80132,0.68522,0.00462,0.000459306,0.000153102,0.000459306,0.000153102,0.000459306,0.000153102,0.000459306,0.000153102
145,40911.5,0.76567,0.75195,0.00543,0.7567,0.75397,0.84478,0.67081,0.80082,0.68397,0.00461,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
146,41191,0.76499,0.75442,0.00543,0.75666,0.7551,0.84526,0.67145,0.80021,0.68284,0.00461,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117
147,41469.4,0.76425,0.75423,0.00542,0.75833,0.75415,0.8457,0.67212,0.79964,0.68193,0.0046,0.000352081,0.00011736,0.000352081,0.00011736,0.000352081,0.00011736,0.000352081,0.00011736
148,41747.9,0.76151,0.749,0.00538,0.75825,0.75502,0.84615,0.67245,0.79927,0.68109,0.0046,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
149,42031.2,0.76214,0.7472,0.00538,0.75717,0.75689,0.84622,0.67267,0.79847,0.68078,0.0046,0.000313026,0.000104342,0.000313026,0.000104342,0.000313026,0.000104342,0.000313026,0.000104342
150,42313.3,0.76223,0.75467,0.00539,0.75379,0.76005,0.84621,0.67291,0.79785,0.6807,0.00459,0.000303257,0.000101086,0.000303257,0.000101086,0.000303257,0.000101086,0.000303257,0.000101086
