epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8483.55,1.0916,1.13768,0.0074,0.73087,0.7483,0.8248,0.63835,0.86169,0.784,0.00506,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,8764.34,1.09396,1.13379,0.00742,0.73017,0.75209,0.82515,0.63906,0.86323,0.78298,0.00508,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,9043.96,1.08761,1.12796,0.00739,0.73044,0.75139,0.82602,0.6402,0.85995,0.78072,0.00506,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,9320.28,1.08665,1.12625,0.00738,0.72542,0.75657,0.82653,0.641,0.85888,0.77477,0.00505,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,9603.2,1.08466,1.12881,0.0073,0.72929,0.75356,0.82694,0.64152,0.85676,0.77585,0.00504,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,9887.95,1.08269,1.11982,0.00741,0.73359,0.75224,0.82866,0.64358,0.85441,0.7721,0.00502,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,10166.1,1.08352,1.11817,0.00731,0.7351,0.74887,0.82852,0.64318,0.85382,0.76999,0.00501,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,10442.7,1.08008,1.12176,0.00736,0.73669,0.7493,0.83025,0.6453,0.85271,0.76566,0.005,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,10725.6,1.07532,1.11054,0.00729,0.73999,0.74706,0.83065,0.64603,0.85266,0.76171,0.00499,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,11007.7,1.0764,1.11121,0.0073,0.73566,0.75039,0.83092,0.64663,0.85162,0.75904,0.00498,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,11286.8,1.06708,1.11034,0.00724,0.73825,0.74915,0.8309,0.64665,0.85112,0.75966,0.00498,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
